Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
115,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280305,0.601223,0.470768,0.0279743,0.1
116,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.28031,0.60119,0.470747,0.0279643,0.1
117,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280308,0.601134,0.470712,0.0279628,0.1
118,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280311,0.601077,0.470677,0.0279582,0.1
119,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280302,0.601003,0.47063,0.0279544,0.1
120,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.2803,0.600972,0.470611,0.0279559,0.1
121,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280308,0.600936,0.470589,0.0279597,0.1
122,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280305,0.60088,0.470553,0.0279444,0.1
123,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280305,0.600842,0.470529,0.0279574,0.1
124,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280303,0.600803,0.470505,0.0279305,0.1
125,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280302,0.60078,0.470491,0.0279236,0.1
126,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280299,0.600741,0.470467,0.0279321,0.1
127,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280295,0.600693,0.470437,0.0279421,0.1
128,Baseline,0,Balanced,0,Low,0,Low,0,Low,0,Low,0,0.280299,0.600646,0.470408,0.0279367,0.1
