Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
64,RL,60,BSDF Heavy,-0.356293,Low,0,Low,0,Medium,1,Medium,1,3.23908,717.724,6.57748,0.0625521,0.199361
65,RL,122,BSDF Heavy,-0.235319,Low,0,Medium,2,Medium,1,Medium,1,3.24783,719.417,6.57983,0.0661024,0.199361
66,RL,120,BSDF Heavy,0.323963,Low,0,Low,0,Medium,1,Medium,1,3.24197,717.087,6.57659,0.0658027,0.199361
67,RL,124,BSDF Heavy,-1.05639,Low,0,High,4,Medium,1,Medium,1,3.27436,724.713,6.58715,0.065579,0.199361
68,RL,120,BSDF Heavy,0.802088,Low,0,Low,0,Medium,1,Medium,1,3.24447,718.915,6.57913,0.0658688,0.199361
69,RL,124,BSDF Heavy,-0.637531,Low,0,High,4,Medium,1,Medium,1,3.26715,723.52,6.58551,0.0662883,0.199361
70,RL,124,BSDF Heavy,0.443459,Low,0,High,4,Medium,1,Medium,1,3.2539,720.314,6.58107,0.0658564,0.199361
71,RL,122,BSDF Heavy,0.0873089,Low,0,Medium,2,Medium,1,Medium,1,3.25237,719.685,6.5802,0.066097,0.199361
72,RL,123,BSDF Heavy,-0.0767231,Low,0,Medium-High,3,Medium,1,Medium,1,3.24993,720.238,6.58097,0.0657112,0.199361
73,RL,124,BSDF Heavy,-0.41008,Low,0,High,4,Medium,1,Medium,1,3.26708,723.202,6.58507,0.0661784,0.199361
74,RL,123,BSDF Heavy,0.431442,Low,0,Medium-High,3,Medium,1,Medium,1,3.25479,720.084,6.58076,0.0661485,0.199361
75,RL,124,BSDF Heavy,-0.985765,Low,0,High,4,Medium,1,Medium,1,3.28269,727.227,6.59061,0.0662484,0.199361
76,RL,124,BSDF Heavy,0.259066,Low,0,High,4,Medium,1,Medium,1,3.27155,725.343,6.58802,0.0655406,0.199361
77,RL,124,BSDF Heavy,0.307083,Low,0,High,4,Medium,1,Medium,1,3.26415,723.116,6.58495,0.0658595,0.199361
78,RL,124,BSDF Heavy,-0.00286102,Low,0,High,4,Medium,1,Medium,1,3.26293,723.137,6.58498,0.0657181,0.199361
79,RL,124,BSDF Heavy,-0.0899315,Low,0,High,4,Medium,1,Medium,1,3.26848,723.788,6.58588,0.0658526,0.199361
80,RL,105,Light Heavy,1.14331,Low,0,Low,0,Medium,1,High,2,3.23128,715.549,6.57445,0.0653669,0.199202
81,RL,17,Light Heavy,-0.589371,Low,0,Medium,2,Medium,1,High,2,3.23935,719.784,6.58034,0.05766,0.199202
82,RL,34,Light Heavy,-0.600863,Low,0,High,4,Medium,1,High,2,3.25917,724.128,6.58635,0.0576992,0.199202
83,RL,34,Light Heavy,0.2285,Low,0,High,4,Medium,1,High,2,3.251,722.473,6.58406,0.0577123,0.199202
84,RL,15,Light Heavy,0.612593,Low,0,Low,0,Medium,1,High,2,3.23724,718.055,6.57794,0.0576639,0.199202
85,RL,34,Light Heavy,-0.484085,Low,0,High,4,Medium,1,High,2,3.2477,721.544,6.58278,0.0576977,0.199202
86,RL,34,Light Heavy,0.140667,Low,0,High,4,Medium,1,High,2,3.24296,720.528,6.58137,0.0577838,0.199202
87,RL,15,Light Heavy,0.546408,Low,0,Low,0,Medium,1,High,2,3.22837,716.597,6.57591,0.05767,0.199202
88,RL,15,Light Heavy,0.287771,Low,0,Low,0,Medium,1,High,2,3.21379,714.535,6.57303,0.0572935,0.199202
