Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
161,Baseline,0,Balanced,0,Low,0,Low,0,20.9921,3548.07,8.17444,0.581751,0.1
162,Baseline,0,Balanced,0,Low,0,Low,0,21.0739,3563.83,8.17887,0.58169,0.1
163,Baseline,0,Balanced,0,Low,0,Low,0,21.0338,3558.51,8.17738,0.581909,0.1
164,Baseline,0,Balanced,0,Low,0,Low,0,21.053,3558.2,8.17729,0.582258,0.1
165,Baseline,0,Balanced,0,Low,0,Low,0,21.0423,3558.53,8.17738,0.581891,0.1
166,Baseline,0,Balanced,0,Low,0,Low,0,21.0124,3553.6,8.176,0.581576,0.1
167,Baseline,0,Balanced,0,Low,0,Low,0,20.9999,3548.83,8.17465,0.581113,0.1
168,Baseline,0,Balanced,0,Low,0,Low,0,21.0136,3549.84,8.17494,0.581862,0.1
169,Baseline,0,Balanced,0,Low,0,Low,0,20.9713,3545.47,8.17371,0.581659,0.1
170,Baseline,0,Balanced,0,Low,0,Low,0,21.0585,3562.22,8.17842,0.58288,0.1
171,Baseline,0,Balanced,0,Low,0,Low,0,21.0428,3555.1,8.17642,0.58154,0.1
172,Baseline,0,Balanced,0,Low,0,Low,0,21.0235,3553.89,8.17608,0.581248,0.1
173,Baseline,0,Balanced,0,Low,0,Low,0,20.9412,3534.99,8.17075,0.581675,0.1
174,Baseline,0,Balanced,0,Low,0,Low,0,21.0418,3558.31,8.17732,0.581916,0.1
175,Baseline,0,Balanced,0,Low,0,Low,0,20.9968,3548.76,8.17463,0.58151,0.1
176,Baseline,0,Balanced,0,Low,0,Low,0,21.0219,3553.29,8.17591,0.581439,0.1
177,Baseline,0,Balanced,0,Low,0,Low,0,21.048,3558.71,8.17743,0.582156,0.1
178,Baseline,0,Balanced,0,Low,0,Low,0,20.9932,3546.56,8.17402,0.581331,0.1
179,Baseline,0,Balanced,0,Low,0,Low,0,21.0117,3550.63,8.17516,0.581725,0.1
180,Baseline,0,Balanced,0,Low,0,Low,0,21.0462,3558.22,8.1773,0.582388,0.1
181,Baseline,0,Balanced,0,Low,0,Low,0,20.9915,3547.15,8.17418,0.582267,0.1
182,Baseline,0,Balanced,0,Low,0,Low,0,21.0643,3561.82,8.17831,0.581995,0.1
183,Baseline,0,Balanced,0,Low,0,Low,0,21.0103,3551.67,8.17546,0.581614,0.1
184,Baseline,0,Balanced,0,Low,0,Low,0,20.9946,3546.71,8.17406,0.581814,0.1
185,Baseline,0,Balanced,0,Low,0,Low,0,20.9653,3544.21,8.17335,0.581377,0.1
186,Baseline,0,Balanced,0,Low,0,Low,0,21.0752,3564.39,8.17903,0.58235,0.1
187,Baseline,0,Balanced,0,Low,0,Low,0,21.0052,3549.16,8.17475,0.581444,0.1
188,Baseline,0,Balanced,0,Low,0,Low,0,20.9975,3547.89,8.17439,0.580835,0.1
189,Baseline,0,Balanced,0,Low,0,Low,0,21.0512,3560.12,8.17783,0.581633,0.1
190,Baseline,0,Balanced,0,Low,0,Low,0,21.03,3553.69,8.17602,0.582153,0.1
191,Baseline,0,Balanced,0,Low,0,Low,0,21.0548,3562.05,8.17837,0.58183,0.1
192,Baseline,0,Balanced,0,Low,0,Low,0,21.0115,3551.01,8.17527,0.581678,0.1
193,Baseline,0,Balanced,0,Low,0,Low,0,21.0364,3552.85,8.17579,0.582285,0.1
194,Baseline,0,Balanced,0,Low,0,Low,0,20.9606,3543.16,8.17305,0.581126,0.1
195,Baseline,0,Balanced,0,Low,0,Low,0,21.0012,3546.82,8.17409,0.582211,0.1
196,Baseline,0,Balanced,0,Low,0,Low,0,20.9874,3546.84,8.17409,0.581609,0.1
197,Baseline,0,Balanced,0,Low,0,Low,0,21.0309,3554.37,8.17622,0.581514,0.1
198,Baseline,0,Balanced,0,Low,0,Low,0,21.0774,3561.56,8.17823,0.581878,0.1
199,Baseline,0,Balanced,0,Low,0,Low,0,21.0203,3554.64,8.17629,0.581841,0.1
200,Baseline,0,Balanced,0,Low,0,Low,0,21.0384,3556.2,8.17673,0.581583,0.1
201,Baseline,0,Balanced,0,Low,0,Low,0,21.0282,3552.62,8.17572,0.581506,0.1
202,Baseline,0,Balanced,0,Low,0,Low,0,21.0603,3561.93,8.17834,0.58172,0.1
203,Baseline,0,Balanced,0,Low,0,Low,0,21.011,3552.98,8.17582,0.582093,0.1
204,Baseline,0,Balanced,0,Low,0,Low,0,21.0123,3550.9,8.17524,0.581805,0.1
205,Baseline,0,Balanced,0,Low,0,Low,0,21.0327,3553.84,8.17607,0.581933,0.1
206,Baseline,0,Balanced,0,Low,0,Low,0,20.9732,3542.98,8.17301,0.581814,0.1
207,Baseline,0,Balanced,0,Low,0,Low,0,20.9843,3547.61,8.17431,0.581564,0.1
208,Baseline,0,Balanced,0,Low,0,Low,0,21.0399,3559.61,8.17769,0.581333,0.1
209,Baseline,0,Balanced,0,Low,0,Low,0,21.1159,3573.38,8.18155,0.581702,0.1
210,Baseline,0,Balanced,0,Low,0,Low,0,21.0036,3549.04,8.17472,0.58193,0.1
211,Baseline,0,Balanced,0,Low,0,Low,0,21.0265,3553.79,8.17605,0.581642,0.1
212,Baseline,0,Balanced,0,Low,0,Low,0,20.9964,3550.14,8.17502,0.582169,0.1
